CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'LOCK' invoked with Index: 0x11, Arguments: 4
CALLOTHER 'UNLOCK' invoked with Index: 0x12, Arguments: 4
CALLOTHER 'pshufhw' invoked with Index: 0x98, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'pshufb' invoked with Index: 0x97, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'aesenc' invoked with Index: 0xdc, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'swi' invoked with Index: 0x10, Arguments: 4
CALLOTHER 'cpuid' invoked with Index: 0x2c, Arguments: 4
CALLOTHER 'cpuid_basic_info' invoked with Index: 0x2d, Arguments: 4
CALLOTHER 'cpuid_Version_info' invoked with Index: 0x2e, Arguments: 4
CALLOTHER 'cpuid_cache_tlb_info' invoked with Index: 0x2f, Arguments: 4
CALLOTHER 'cpuid_serial_info' invoked with Index: 0x30, Arguments: 4
CALLOTHER 'cpuid_Deterministic_Cache_Parameters_info' invoked with Index: 0x31, Arguments: 4
CALLOTHER 'cpuid_MONITOR_MWAIT_Features_info' invoked with Index: 0x32, Arguments: 4
CALLOTHER 'cpuid_Thermal_Power_Management_info' invoked with Index: 0x33, Arguments: 4
CALLOTHER 'cpuid_Extended_Feature_Enumeration_info' invoked with Index: 0x34, Arguments: 4
CALLOTHER 'cpuid_Direct_Cache_Access_info' invoked with Index: 0x35, Arguments: 4
CALLOTHER 'cpuid_Architectural_Performance_Monitoring_info' invoked with Index: 0x36, Arguments: 4
CALLOTHER 'cpuid_Extended_Topology_info' invoked with Index: 0x37, Arguments: 4
CALLOTHER 'cpuid_Processor_Extended_States_info' invoked with Index: 0x38, Arguments: 4
CALLOTHER 'cpuid_Quality_of_Service_info' invoked with Index: 0x39, Arguments: 4
CALLOTHER 'cpuid_brand_part1_info' invoked with Index: 0x3a, Arguments: 4
CALLOTHER 'cpuid_brand_part2_info' invoked with Index: 0x3b, Arguments: 4
CALLOTHER 'cpuid_brand_part3_info' invoked with Index: 0x3c, Arguments: 4
CALLOTHER 'cpuid' invoked with Index: 0x2c, Arguments: 4
CALLOTHER 'cpuid_basic_info' invoked with Index: 0x2d, Arguments: 4
CALLOTHER 'cpuid_Version_info' invoked with Index: 0x2e, Arguments: 4
CALLOTHER 'cpuid_cache_tlb_info' invoked with Index: 0x2f, Arguments: 4
CALLOTHER 'cpuid_serial_info' invoked with Index: 0x30, Arguments: 4
CALLOTHER 'cpuid_Deterministic_Cache_Parameters_info' invoked with Index: 0x31, Arguments: 4
CALLOTHER 'cpuid_MONITOR_MWAIT_Features_info' invoked with Index: 0x32, Arguments: 4
CALLOTHER 'cpuid_Thermal_Power_Management_info' invoked with Index: 0x33, Arguments: 4
CALLOTHER 'cpuid_Extended_Feature_Enumeration_info' invoked with Index: 0x34, Arguments: 4
CALLOTHER 'cpuid_Direct_Cache_Access_info' invoked with Index: 0x35, Arguments: 4
CALLOTHER 'cpuid_Architectural_Performance_Monitoring_info' invoked with Index: 0x36, Arguments: 4
CALLOTHER 'cpuid_Extended_Topology_info' invoked with Index: 0x37, Arguments: 4
CALLOTHER 'cpuid_Processor_Extended_States_info' invoked with Index: 0x38, Arguments: 4
CALLOTHER 'cpuid_Quality_of_Service_info' invoked with Index: 0x39, Arguments: 4
